ssid;bssid;channel;RSSI;security;hidden;time
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-53;5;3;1668164879
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-55;5;3;1668164879
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-55;5;3;1668164879
b'eduroam';b'l1\x0e\xba\n\xa4';1;-55;5;3;1668164879
b'AAU';b'l1\x0e\xba\n\xa6';1;-56;0;3;1668164879
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-63;7;2;1668164879
b'';b'l1\x0e\xba\n\xa5';1;-60;0;1;1668164879
b'';b'l1\x0e\xba\n\xa7';1;-55;5;1;1668164879
b'AAU-1x';b'l1\x0e\xf3U\xe0';6;-58;5;2;1668164879
b'AAU-1-DAY';b'l1\x0e\xf3U\xe1';6;-61;5;2;1668164879
b'AAU-1x';b'l1\x0e\xe1\x0f`';6;-70;5;3;1668164879
b'Bear';b'\xc2+\xf9\xcay\x07';6;-43;5;2;1668164879
b'ADMIN 7605';b'\xaa9&_/\x17';6;-52;5;1;1668164879
b'AAU-1-DAY';b'l1\x0e\xe1\x0fa';6;-71;5;2;1668164879
b'AAU-CONF-1';b'l1\x0e\xe1\x0fb';6;-69;5;3;1668164879
b'eduroam';b'l1\x0e\xe1\x0fd';6;-70;5;2;1668164879
b'AAU';b'l1\x0e\xe1\x0ff';6;-70;0;2;1668164879
b'AAU-1x';b'<Q\x0e\x13\xfd\x80';6;-58;5;2;1668164879
b'AAU-CONF-1';b'l1\x0e\xf3U\xe2';6;-58;5;2;1668164879
b'AAU-1-DAY';b'<Q\x0e\x13\xfd\x81';6;-58;5;3;1668164879
b'AAU-CONF-1';b'<Q\x0e\x13\xfd\x82';6;-58;5;3;1668164879
b'eduroam';b'l1\x0e\xf3U\xe4';6;-60;5;2;1668164879
b'AAU';b'l1\x0e\xf3U\xe6';6;-60;0;2;1668164879
b'eduroam';b'<Q\x0e\x13\xfd\x84';6;-59;5;3;1668164879
b'AAU';b'<Q\x0e\x13\xfd\x86';6;-57;0;3;1668164879
b'';b'l1\x0e\xf3U\xe7';6;-55;5;1;1668164879
b'';b'<Q\x0e\x13\xfd\x85';6;-61;0;1;1668164879
b'';b'<Q\x0e\x13\xfd\x87';6;-57;5;1;1668164879
b'TELLO-F250C6';b'4\xd2b\xf2P\xc6';10;-57;0;7;1668164879
b'linksys';b'\x00\x14\xbf\x8a\xa3,';11;-84;5;1;1668164879
b'ZyXEL';b'\x00\x19\xcbYu\xde';13;-60;3;4;1668164879
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-55;5;2;1668164880
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-56;5;2;1668164880
b'';b'l1\x0e\xba\n\xa7';1;-58;5;1;1668164880
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-56;5;2;1668164880
b'eduroam';b'l1\x0e\xba\n\xa4';1;-56;5;2;1668164880
b'AAU';b'l1\x0e\xba\n\xa6';1;-54;0;2;1668164880
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-62;7;3;1668164880
b'EBF0B990';b'\n\xab\xf07\x93\xba';1;-82;0;2;1668164880
b'AAU';b'<Q\x0e\x13\xfd\x86';6;-63;0;3;1668164880
b'AAU-1x';b'l1\x0e\xf3U\xe0';6;-59;5;2;1668164880
b'AAU-1x';b'<Q\x0e\x13\xfd\x80';6;-64;5;2;1668164880
b'AAU-1-DAY';b'<Q\x0e\x13\xfd\x81';6;-63;5;2;1668164880
b'AAU-1-DAY';b'l1\x0e\xf3U\xe1';6;-59;5;2;1668164880
b'Bear';b'\xc2+\xf9\xcay\x07';6;-56;5;3;1668164880
b'ADMIN 7605';b'\xaa9&_/\x17';6;-54;5;2;1668164880
b'AAU-CONF-1';b'l1\x0e\xf3U\xe2';6;-60;5;2;1668164880
b'AAU-1x';b'l1\x0e\xe1\x0f`';6;-72;5;2;1668164880
b'AAU-1-DAY';b'l1\x0e\xe1\x0fa';6;-72;5;1;1668164880
b'AAU-CONF-1';b'<Q\x0e\x13\xfd\x82';6;-62;5;2;1668164880
b'eduroam';b'<Q\x0e\x13\xfd\x84';6;-63;5;2;1668164880
b'';b'<Q\x0e\x13\xfd\x87';6;-65;5;1;1668164880
b'eduroam';b'l1\x0e\xf3U\xe4';6;-59;5;2;1668164880
b'AAU-CONF-1';b'l1\x0e\xe1\x0fb';6;-69;5;2;1668164880
b'AAU';b'l1\x0e\xf3U\xe6';6;-58;0;2;1668164880
b'eduroam';b'l1\x0e\xe1\x0fd';6;-72;5;3;1668164880
b'AAU';b'l1\x0e\xe1\x0ff';6;-71;0;3;1668164880
b'TELLO-F250C6';b'4\xd2b\xf2P\xc6';10;-49;0;7;1668164880
b'linksys';b'\x00\x14\xbf\x8a\xa3,';11;-87;5;1;1668164880
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-62;5;2;1668164882
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-63;5;2;1668164882
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-60;5;2;1668164882
