ssid;bssid;channel;RSSI;security;hidden;time
b'AAU';b'l1\x0e\xe1\x0ff';1;-71;0;3;1609459207
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-49;5;3;1609459207
b'AAU-1x';b'l1\x0e\xe1\x0f`';1;-69;5;2;1609459207
b'AAU-1-DAY';b'l1\x0e\xe1\x0fa';1;-69;5;2;1609459207
b'AAU-CONF-1';b'l1\x0e\xe1\x0fb';1;-70;5;2;1609459207
b'eduroam';b'l1\x0e\xe1\x0fd';1;-71;5;2;1609459207
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-49;5;3;1609459207
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-50;5;3;1609459207
b'eduroam';b'l1\x0e\xba\n\xa4';1;-49;5;2;1609459207
b'AAU';b'l1\x0e\xba\n\xa6';1;-50;0;2;1609459207
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-60;7;3;1609459207
b'EBF0B990';b'\n\xab\xf07\x93\xba';1;-78;0;1;1609459207
b'AAU-1x';b'l1\x0e\xf3U\xe0';6;-66;5;2;1609459207
b'AAU-1-DAY';b'l1\x0e\xf3U\xe1';6;-66;5;2;1609459207
b'AAU-CONF-1';b'l1\x0e\xf3U\xe2';6;-65;5;2;1609459207
b'eduroam';b'l1\x0e\xf3U\xe4';6;-68;5;2;1609459207
b'AAU';b'l1\x0e\xf3U\xe6';6;-64;0;2;1609459207
b'AAU-1x';b'<Q\x0e\x13\xfd\x80';6;-64;5;3;1609459207
b'AAU-1-DAY';b'<Q\x0e\x13\xfd\x81';6;-64;5;3;1609459207
b'AAU-CONF-1';b'<Q\x0e\x13\xfd\x82';6;-64;5;3;1609459207
b'eduroam';b'<Q\x0e\x13\xfd\x84';6;-64;5;3;1609459207
b'AAU';b'<Q\x0e\x13\xfd\x86';6;-64;0;3;1609459207
b'';b'<Q\x0e\x13\xfd\x85';6;-67;0;1;1609459207
b'MiR_202303313';b'\x08U1>\xea\x0c';11;-71;7;1;1609459207
b'ZyXEL';b'\x00\x19\xcbYu\xde';13;-65;3;1;1609459207
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-55;5;2;1609459210
b'AAU-1x';b'l1\x0e\xe1\x0f`';1;-71;5;1;1609459210
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-55;5;2;1609459210
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-56;5;2;1609459210
b'eduroam';b'l1\x0e\xba\n\xa4';1;-52;5;2;1609459210
b'AAU';b'l1\x0e\xba\n\xa6';1;-55;0;2;1609459210
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-64;7;2;1609459210
b'AAU-1-DAY';b'l1\x0e\xe1\x0fa';1;-74;5;2;1609459210
b'AAU-CONF-1';b'l1\x0e\xe1\x0fb';1;-74;5;2;1609459210
b'eduroam';b'l1\x0e\xe1\x0fd';1;-71;5;2;1609459210
b'AAU';b'l1\x0e\xe1\x0ff';1;-69;0;1;1609459210
b'EBF0B990';b'\n\xab\xf07\x93\xba';1;-81;0;2;1609459210
b'';b'l1\x0e\xe1\x0fe';1;-73;0;1;1609459210
b'AAU-1x';b'l1\x0e\xf3U\xe0';6;-58;5;2;1609459210
b'AAU-1x';b'<Q\x0e\x13\xfd\x80';6;-65;5;2;1609459210
b'AAU-1-DAY';b'l1\x0e\xf3U\xe1';6;-56;5;2;1609459210
b'AAU-CONF-1';b'l1\x0e\xf3U\xe2';6;-55;5;2;1609459210
b'Bear';b'\xc2+\xf9\xcay\x07';6;-46;5;3;1609459210
b'AAU-1-DAY';b'<Q\x0e\x13\xfd\x81';6;-65;5;2;1609459210
b'eduroam';b'l1\x0e\xf3U\xe4';6;-56;5;3;1609459210
b'AAU';b'l1\x0e\xf3U\xe6';6;-57;0;3;1609459210
b'AAU-CONF-1';b'<Q\x0e\x13\xfd\x82';6;-64;5;2;1609459210
b'eduroam';b'<Q\x0e\x13\xfd\x84';6;-64;5;2;1609459210
b'AAU';b'<Q\x0e\x13\xfd\x86';6;-65;0;2;1609459210
b'';b'l1\x0e\xf3U\xe5';6;-58;0;1;1609459210
b'';b'l1\x0e\xf3U\xe7';6;-58;5;1;1609459210
b'MiR_202303313';b'\x08U1>\xea\x0c';11;-69;7;2;1609459210
b'linksys';b'\x00\x14\xbf\x8a\xa3,';11;-80;5;3;1609459210
b'ZyXEL';b'\x00\x19\xcbYu\xde';13;-68;3;3;1609459210
